lichess_id,ply,result,risck_player
MyJVP9L2,95,0-1,White
8BwRYdBG,74,1-0,Black
nToNvYZh,83,1-0,White
J0vW3IZ5,109,1/2-1/2,White
6jBRewi5,96,0-1,Black
Oux3OP8p,90,1/2-1/2,Black
8G3YvhBH,123,1-0,White
VSbspDgm,64,0-1,Black
bSMduAul,84,0-1,Black
EcvYzpnz,42,0-1,Black
XN8cFHme,65,1-0,White
5cMgfLVP,61,1-0,White
i6oUWtZr,136,0-1,Black
NtI9UXvR,110,0-1,Black
wVOUHEwL,68,0-1,Black
14b03bmy,95,1-0,White
7Qq4fWD2,55,1-0,White
bm9qnsOF,80,1/2-1/2,Black
X7kQcmED,60,0-1,Black
Y9VEahcB,52,0-1,Black
DfE2bUYC,100,0-1,Black
nuWrkQ9c,79,1-0,White
fj4WcN0o,45,1-0,White
hfTvQ5Rx,89,1-0,White
PoE7TL0d,106,1-0,Black
9A5VfY4q,103,1-0,White
o818dZWp,74,0-1,Black
IrTAHOkH,101,1-0,White
xkZsIFAY,51,1-0,White
rwTshbVs,66,0-1,Black
JMyAACIo,65,1-0,White
QOTCQsPv,116,0-1,Black
5bP86WRR,96,0-1,Black
BL6Di0eR,80,0-1,Black
4rxVE5yw,116,0-1,Black
pFO8A8fS,60,0-1,Black
hr3e5oj3,115,1-0,White
yrZ8uBbf,59,0-1,White
2Qom9OYI,73,1-0,White
EUAFPcdU,77,1-0,White
TTKMLw2s,57,1-0,White
mjhXB8jl,60,0-1,Black
4g7qNIgF,75,1/2-1/2,White
AIwc9QYs,91,1-0,White
Y5NrizIr,59,0-1,White
WzvmFIfQ,32,0-1,Black
YCZevkLf,83,1-0,White
WU8TMHCv,60,0-1,Black
zAxBow0I,41,1-0,White
gv703R27,75,1-0,White
b69BD46f,78,0-1,Black
1E903RBz,106,0-1,Black
ZaeDADII,101,1-0,White
HvWMbpPt,74,0-1,Black
LCCE8RWb,98,0-1,Black
HaWTIkx9,70,1-0,Black
WgHbI79Y,75,1-0,White
hU37kEaT,84,1-0,Black
U0wuWkJx,69,1-0,White
vNcxt8yO,109,1-0,White
yWfjLmGk,122,0-1,Black
JP00I06M,85,0-1,White
ijJqDJS3,58,0-1,Black
0abVS3EJ,40,0-1,Black
TGqHVhT3,76,0-1,Black
T11LLrWP,59,1-0,White
6EVyflTn,110,0-1,Black
btGUifxl,84,0-1,Black
kaxETDcK,51,0-1,White
8TqSvTZP,73,1-0,White
sSTJ3T3x,98,0-1,Black
vyUfJjIu,40,0-1,Black
MQuu5AyW,105,1-0,White
FSl868us,76,0-1,Black
nZNaKMHc,91,1-0,White
rN57WgEU,125,1-0,White
HfTwMtjk,82,0-1,Black
pf6nQct3,95,0-1,White
i4QaguyJ,81,1-0,White
cmPQ62Nb,81,1-0,White
NnYuUe9z,84,0-1,Black
6pPiulFr,96,0-1,Black
xXJoNdfJ,79,1-0,White
dzwWhEQb,60,0-1,Black
wjUq5ceI,87,1-0,White
fyFXpvOx,93,1-0,White
beRqurYx,91,1-0,White
xtrzhkfY,83,1-0,White
bNouSugC,67,1-0,White
L6NrZ6Fa,83,1-0,White
lzSjsEyc,65,1-0,White
LZ0pIn7Q,58,0-1,Black
nkfJfiOB,68,0-1,Black
SS6nk1te,75,1-0,White
9QkP7X7K,132,0-1,Black
EwBdthnI,60,0-1,Black
9tpUYUvn,70,0-1,Black
Q7I9k2Ty,97,1-0,White
6eIY8cgo,74,0-1,Black
4GxIQaon,49,1-0,White
LUzQLUWD,113,1/2-1/2,White
AjGnheEK,84,0-1,Black
soZ3wxeL,71,1-0,White
uAaaFrVr,76,0-1,Black
SYvnWOg1,69,1-0,White
