lichess_id,ply,result,risck_player
YFkTKWLP,60,0-1,Black
2uC4H8eg,87,1-0,White
ybdI301L,64,0-1,Black
GlwSjg0r,91,1-0,White
iNNjKGNy,71,1-0,White
321RZmLQ,69,1-0,White
RQAAnfOh,81,1-0,White
nCJnf1pp,80,1-0,Black
26JmCmN1,82,0-1,Black
SqBVl8aY,77,1-0,White
UEOKGBmV,70,0-1,Black
1BmoI3ad,73,0-1,White
icZhPGMx,66,1-0,Black
icZhPGMx,75,1-0,White
Fi0VijLy,48,0-1,Black
ROumwnrY,85,0-1,White
8w6Vq8Hv,117,0-1,White
bSEoB64G,76,0-1,Black
RQdPn3Tw,50,0-1,Black
RofLyYAT,123,0-1,White
RnvwrvnB,113,1-0,White
S94Eie1i,80,0-1,Black
KFWWeHZe,60,0-1,Black
Vpu0ESVs,82,0-1,Black
Vpu0ESVs,94,0-1,Black
Vpu0ESVs,98,0-1,Black
Sdsi44Oj,67,0-1,White
Sdsi44Oj,71,0-1,White
88oc7P8y,59,1-0,White
4c3V7w56,100,0-1,Black
I19AkkL3,109,0-1,White
nbrTsvLR,75,1-0,White
yRORK9LT,106,0-1,Black
MQYbnZLN,58,0-1,Black
AFc39pvV,65,1-0,White
J9UT4sAG,92,1/2-1/2,Black
EkEPITvb,72,1-0,Black
YlrzcIwZ,64,0-1,Black
H6F5CGDH,65,1-0,White
NVZgJDVV,100,1-0,Black
ECWtKQEU,51,1-0,White
MmicbMuc,78,0-1,Black
8ktsJs6H,65,1-0,White
9Cw6OylA,108,0-1,Black
jRtzh7gl,72,0-1,Black
NfiWEdyM,76,1-0,Black
8HGU2i0z,64,0-1,Black
lrRlkSuJ,68,0-1,Black
3l0Q9csN,88,0-1,Black
SAcUsZAT,86,0-1,Black
EaZ5OtwO,130,0-1,Black
pI9FhRVL,78,1-0,Black
pI9FhRVL,80,1-0,Black
DIG7W4Fn,107,0-1,White
M6lNv0mj,96,0-1,Black
cofHs7XH,66,0-1,Black
iPKQuPth,111,1/2-1/2,White
AkYjR8SB,88,0-1,Black
xCZ246OJ,80,0-1,Black
JkDjUeuC,93,1-0,White
iQUkQJCA,81,1/2-1/2,White
PCNCSXWA,36,0-1,Black
rTKcQ3dB,80,0-1,Black
OfANcSFy,87,1-0,White
den2IheY,61,1-0,White
esCRauFz,61,1-0,White
esCRauFz,63,1-0,White
3t7xkLeh,86,0-1,Black
vIYdbcQW,66,1-0,Black
K7pa5Q2n,81,1-0,White
eBziY7Zn,78,1-0,Black
LPO1dDQS,93,1-0,White
0ME1CUJX,91,1-0,White
UoY4JDWz,101,1-0,White
